,지역(1),지역(2),세대,총전입,총전출,순이동,시도내이동-시군구내,시도내이동-시군구간 전입,시도내이동-시군구간 전출,시도간전입,시도간전출,연도
72,서울특별시,강동구,노년층,8755.0,11386.0,-2631.0,4123.0,2419.0,2096.0,2213.0,5167.0,2016
73,서울특별시,강동구,노년층,10641.0,13260.0,-2619.0,5242.0,2821.0,2849.0,2578.0,5169.0,2017
74,서울특별시,강동구,노년층,8144.0,9862.0,-1718.0,3466.0,2247.0,2019.0,2431.0,4377.0,2018
75,서울특별시,강동구,노년층,10489.0,9795.0,694.0,4105.0,3408.0,1967.0,2976.0,3723.0,2019
76,서울특별시,강동구,노년층,14170.0,12046.0,2124.0,5391.0,4818.0,2238.0,3961.0,4417.0,2020
77,서울특별시,강동구,중장년층,31246.0,32709.0,-1463.0,13340.0,9587.0,8577.0,8319.0,10792.0,2010
78,서울특별시,강동구,중장년층,35445.0,35942.0,-497.0,16239.0,10751.0,8644.0,8455.0,11059.0,2011
79,서울특별시,강동구,중장년층,27752.0,32155.0,-4403.0,12896.0,7645.0,8467.0,7211.0,10792.0,2012
80,서울특별시,강동구,중장년층,25771.0,28681.0,-2910.0,11476.0,7360.0,7384.0,6935.0,9821.0,2013
81,서울특별시,강동구,중장년층,25498.0,29320.0,-3822.0,11639.0,7075.0,7508.0,6784.0,10173.0,2014
82,서울특별시,강동구,중장년층,29073.0,37704.0,-8631.0,15597.0,7144.0,8483.0,6332.0,13624.0,2015
83,서울특별시,강동구,중장년층,26625.0,33976.0,-7351.0,12750.0,7474.0,6923.0,6401.0,14303.0,2016
84,서울특별시,강동구,중장년층,32602.0,36672.0,-4070.0,15859.0,9578.0,8817.0,7165.0,11996.0,2017
85,서울특별시,강동구,중장년층,22628.0,27238.0,-4610.0,9829.0,6745.0,6174.0,6054.0,11235.0,2018
86,서울특별시,강동구,중장년층,29093.0,26872.0,2221.0,11535.0,9991.0,5734.0,7567.0,9603.0,2019
87,서울특별시,강동구,중장년층,39303.0,30651.0,8652.0,13852.0,15409.0,6590.0,10042.0,10209.0,2020
88,서울특별시,강동구,청년층,27343.0,27697.0,-354.0,9217.0,9257.0,8139.0,8869.0,10341.0,2010
89,서울특별시,강동구,청년층,28881.0,28683.0,198.0,10596.0,9779.0,8071.0,8506.0,10016.0,2011
90,서울특별시,강동구,청년층,23817.0,26212.0,-2395.0,8758.0,7507.0,7850.0,7552.0,9604.0,2012
91,서울특별시,강동구,청년층,22519.0,24019.0,-1500.0,8059.0,7343.0,7073.0,7117.0,8887.0,2013
92,서울특별시,강동구,청년층,21496.0,23528.0,-2032.0,7797.0,6695.0,6967.0,7004.0,8764.0,2014
93,서울특별시,강동구,청년층,22342.0,27625.0,-5283.0,9498.0,6316.0,7468.0,6528.0,10659.0,2015
94,서울특별시,강동구,청년층,21051.0,24257.0,-3206.0,7856.0,6699.0,6316.0,6496.0,10085.0,2016
95,서울특별시,강동구,청년층,23572.0,25315.0,-1743.0,9011.0,7793.0,7391.0,6768.0,8913.0,2017
96,서울특별시,강동구,청년층,19267.0,20638.0,-1371.0,6408.0,6263.0,5940.0,6596.0,8290.0,2018
97,서울특별시,강동구,청년층,22872.0,19718.0,3154.0,6806.0,8572.0,5499.0,7494.0,7413.0,2019
98,서울특별시,강동구,청년층,30041.0,23302.0,6739.0,8307.0,12463.0,6458.0,9271.0,8537.0,2020
99,서울특별시,강북구,노년층,5778.0,6252.0,-474.0,1974.0,2390.0,2243.0,1414.0,2035.0,2010
100,서울특별시,강북구,노년층,5399.0,6086.0,-687.0,1886.0,2185.0,2205.0,1328.0,1995.0,2011
101,서울특별시,강북구,노년층,5457.0,5970.0,-513.0,1851.0,2231.0,2175.0,1375.0,1944.0,2012
102,서울특별시,강북구,노년층,5570.0,6228.0,-658.0,2026.0,2260.0,2206.0,1284.0,1996.0,2013
103,서울특별시,강북구,노년층,5981.0,6498.0,-517.0,2123.0,2560.0,2342.0,1298.0,2033.0,2014
104,서울특별시,강북구,노년층,6343.0,7128.0,-785.0,2463.0,2573.0,2511.0,1307.0,2154.0,2015
105,서울특별시,강북구,노년층,6326.0,7058.0,-732.0,2428.0,2630.0,2441.0,1268.0,2189.0,2016
106,서울특별시,강북구,노년층,6032.0,6668.0,-636.0,2261.0,2568.0,2234.0,1203.0,2173.0,2017
107,서울특별시,강북구,노년층,6439.0,7437.0,-998.0,2526.0,2568.0,2518.0,1345.0,2393.0,2018
