,지역(1),지역(2),세대,총전입,총전출,순이동,시도내이동-시군구내,시도내이동-시군구간 전입,시도내이동-시군구간 전출,시도간전입,시도간전출,연도
190,강원도,강원도,청년층,63879.0,67424.0,-3545.0,23593.0,11640.0,11640.0,28646.0,32191.0,2013
191,강원도,강원도,청년층,66079.0,70370.0,-4291.0,24974.0,11908.0,11908.0,29197.0,33488.0,2014
192,강원도,강원도,청년층,68056.0,70302.0,-2246.0,23813.0,12268.0,12268.0,31975.0,34221.0,2015
193,강원도,강원도,청년층,64824.0,70055.0,-5231.0,23958.0,12143.0,12143.0,28723.0,33954.0,2016
194,강원도,강원도,청년층,62507.0,67044.0,-4537.0,22069.0,11875.0,11875.0,28563.0,33100.0,2017
195,강원도,강원도,청년층,62043.0,70020.0,-7977.0,24574.0,11455.0,11455.0,26014.0,33991.0,2018
196,강원도,강원도,청년층,63979.0,69554.0,-5575.0,25267.0,11232.0,11232.0,27480.0,33055.0,2019
197,강원도,강원도,청년층,67231.0,71677.0,-4446.0,26526.0,11725.0,11725.0,28980.0,33426.0,2020
231,경상남도,경상남도,노년층,41362.0,39347.0,2015.0,17532.0,9537.0,9537.0,14293.0,12278.0,2010
232,경상남도,경상남도,노년층,41973.0,39546.0,2427.0,18791.0,8270.0,8270.0,14912.0,12485.0,2011
233,경상남도,경상남도,노년층,38431.0,36842.0,1589.0,16752.0,7874.0,7874.0,13805.0,12216.0,2012
234,경상남도,경상남도,노년층,39454.0,37338.0,2116.0,17593.0,7721.0,7721.0,14140.0,12024.0,2013
235,경상남도,경상남도,노년층,44834.0,42357.0,2477.0,21315.0,8386.0,8386.0,15133.0,12656.0,2014
236,경상남도,경상남도,노년층,46600.0,43901.0,2699.0,21479.0,8940.0,8940.0,16181.0,13482.0,2015
237,경상남도,경상남도,노년층,46919.0,43822.0,3097.0,21725.0,9073.0,9073.0,16121.0,13024.0,2016
238,경상남도,경상남도,노년층,48446.0,44451.0,3995.0,21750.0,9260.0,9260.0,17436.0,13441.0,2017
239,경상남도,경상남도,노년층,48756.0,45838.0,2918.0,22858.0,9604.0,9604.0,16294.0,13376.0,2018
240,경상남도,경상남도,노년층,49455.0,47227.0,2228.0,23933.0,9520.0,9520.0,16002.0,13774.0,2019
241,경상남도,경상남도,노년층,55973.0,53156.0,2817.0,27245.0,10407.0,10407.0,18321.0,15504.0,2020
242,경상남도,경상남도,중장년층,173692.0,169174.0,4518.0,86725.0,37854.0,37854.0,49113.0,44595.0,2010
243,경상남도,경상남도,중장년층,172346.0,167215.0,5131.0,89335.0,32838.0,32838.0,50173.0,45042.0,2011
244,경상남도,경상남도,중장년층,150766.0,147807.0,2959.0,75108.0,30142.0,30142.0,45516.0,42557.0,2012
245,경상남도,경상남도,중장년층,156922.0,151207.0,5715.0,81371.0,29422.0,29422.0,46129.0,40414.0,2013
246,경상남도,경상남도,중장년층,175297.0,168441.0,6856.0,93383.0,31545.0,31545.0,50369.0,43513.0,2014
247,경상남도,경상남도,중장년층,174233.0,167970.0,6263.0,89880.0,32766.0,32766.0,51587.0,45324.0,2015
248,경상남도,경상남도,중장년층,158493.0,152321.0,6172.0,79977.0,29880.0,29880.0,48636.0,42464.0,2016
249,경상남도,경상남도,중장년층,161839.0,154729.0,7110.0,81940.0,29416.0,29416.0,50483.0,43373.0,2017
250,경상남도,경상남도,중장년층,152986.0,149113.0,3873.0,79680.0,28403.0,28403.0,44903.0,41030.0,2018
251,경상남도,경상남도,중장년층,155798.0,152289.0,3509.0,83778.0,28488.0,28488.0,43532.0,40023.0,2019
252,경상남도,경상남도,중장년층,156915.0,156057.0,858.0,84293.0,28537.0,28537.0,44085.0,43227.0,2020
253,경상남도,경상남도,청년층,154943.0,157144.0,-2201.0,62881.0,36051.0,36051.0,56011.0,58212.0,2010
254,경상남도,경상남도,청년층,152364.0,154003.0,-1639.0,66278.0,30407.0,30407.0,55679.0,57318.0,2011
255,경상남도,경상남도,청년층,135143.0,139882.0,-4739.0,56666.0,27646.0,27646.0,50831.0,55570.0,2012
256,경상남도,경상남도,청년층,137679.0,140570.0,-2891.0,59759.0,26910.0,26910.0,51010.0,53901.0,2013
257,경상남도,경상남도,청년층,144086.0,147118.0,-3032.0,64366.0,26773.0,26773.0,52947.0,55979.0,2014
258,경상남도,경상남도,청년층,141438.0,144632.0,-3194.0,61882.0,26710.0,26710.0,52846.0,56040.0,2015
259,경상남도,경상남도,청년층,127501.0,133926.0,-6425.0,53771.0,24575.0,24575.0,49155.0,55580.0,2016
260,경상남도,경상남도,청년층,123326.0,131456.0,-8130.0,52026.0,23498.0,23498.0,47802.0,55932.0,2017
261,경상남도,경상남도,청년층,116424.0,127541.0,-11117.0,49952.0,22297.0,22297.0,44175.0,55292.0,2018
262,경상남도,경상남도,청년층,118756.0,131812.0,-13056.0,50910.0,23222.0,23222.0,44624.0,57680.0,2019
263,경상남도,경상남도,청년층,122578.0,140512.0,-17934.0,53127.0,24127.0,24127.0,45324.0,63258.0,2020
264,경상북도,경상북도,노년층,33394.0,32531.0,863.0,13714.0,5218.0,5218.0,14462.0,13599.0,2010
265,경상북도,경상북도,노년층,34313.0,32596.0,1717.0,13862.0,5270.0,5270.0,15181.0,13464.0,2011
266,경상북도,경상북도,노년층,34046.0,32754.0,1292.0,13849.0,5265.0,5265.0,14932.0,13640.0,2012
267,경상북도,경상북도,노년층,34386.0,32512.0,1874.0,14059.0,5187.0,5187.0,15140.0,13266.0,2013
268,경상북도,경상북도,노년층,37670.0,35405.0,2265.0,15407.0,5694.0,5694.0,16569.0,14304.0,2014
269,경상북도,경상북도,노년층,38912.0,37147.0,1765.0,16226.0,6156.0,6156.0,16530.0,14765.0,2015
270,경상북도,경상북도,노년층,36957.0,34880.0,2077.0,15367.0,5524.0,5524.0,16066.0,13989.0,2016
271,경상북도,경상북도,노년층,37990.0,35722.0,2268.0,15962.0,5829.0,5829.0,16199.0,13931.0,2017
272,경상북도,경상북도,노년층,41054.0,39059.0,1995.0,17581.0,6395.0,6395.0,17078.0,15083.0,2018
273,경상북도,경상북도,노년층,42041.0,39055.0,2986.0,17552.0,6697.0,6697.0,17792.0,14806.0,2019
274,경상북도,경상북도,노년층,47594.0,44633.0,2961.0,20296.0,7587.0,7587.0,19711.0,16750.0,2020
275,경상북도,경상북도,중장년층,126096.0,122318.0,3778.0,59294.0,20231.0,20231.0,46571.0,42793.0,2010
276,경상북도,경상북도,중장년층,130020.0,123073.0,6947.0,61314.0,20639.0,20639.0,48067.0,41120.0,2011
277,경상북도,경상북도,중장년층,121274.0,117080.0,4194.0,55720.0,19535.0,19535.0,46019.0,41825.0,2012
278,경상북도,경상북도,중장년층,120308.0,115267.0,5041.0,55297.0,19669.0,19669.0,45342.0,40301.0,2013
279,경상북도,경상북도,중장년층,127998.0,121538.0,6460.0,56425.0,20685.0,20685.0,50888.0,44428.0,2014
280,경상북도,경상북도,중장년층,131667.0,125651.0,6016.0,58051.0,23100.0,23100.0,50516.0,44500.0,2015
281,경상북도,경상북도,중장년층,120173.0,114857.0,5316.0,54848.0,20675.0,20675.0,44650.0,39334.0,2016
282,경상북도,경상북도,중장년층,119873.0,115462.0,4411.0,56141.0,20485.0,20485.0,43247.0,38836.0,2017
