,지역(1),지역(2),주택유형,매매가격,연도
174,전라남도,전라남도,단독주택,95.18473572,2010
175,경상북도,경상북도,단독주택,92.74087317,2010
176,경상남도,경상남도,단독주택,82.72829165,2010
177,제주특별자치도,제주특별자치도,단독주택,84.36460755,2010
178,전국,전국,종합,94.11182103,2011
179,서울특별시,서울특별시,종합,95.66122807,2011
180,서울특별시,종로구,종합,94.85901966,2011
181,서울특별시,중구,종합,96.55519283,2011
182,서울특별시,용산구,종합,98.72960623,2011
183,서울특별시,성동구,종합,95.27484574,2011
184,서울특별시,광진구,종합,96.20598836,2011
185,서울특별시,동대문구,종합,95.4314511,2011
186,서울특별시,중랑구,종합,96.71248397,2011
187,서울특별시,성북구,종합,96.1636612,2011
188,서울특별시,강북구,종합,99.80086177,2011
189,서울특별시,도봉구,종합,100.998378,2011
190,서울특별시,노원구,종합,93.11208819,2011
191,서울특별시,은평구,종합,95.60188953,2011
192,서울특별시,서대문구,종합,98.18943643,2011
193,서울특별시,마포구,종합,91.4206157,2011
194,서울특별시,양천구,종합,97.44030896,2011
195,서울특별시,강서구,종합,96.86492593,2011
196,서울특별시,구로구,종합,94.14166537,2011
197,서울특별시,금천구,종합,97.05055961,2011
198,서울특별시,영등포구,종합,94.44136212,2011
199,서울특별시,동작구,종합,93.47379473,2011
200,서울특별시,관악구,종합,95.73903245,2011
201,서울특별시,서초구,종합,92.90659242,2011
202,서울특별시,강남구,종합,92.66277548,2011
203,서울특별시,송파구,종합,96.54118555,2011
204,서울특별시,강동구,종합,96.95607817,2011
205,경기도,경기도,종합,96.58280449,2011
206,경기도,과천시,종합,97.56333317,2011
207,경기도,안양시,종합,95.88054569,2011
208,경기도,성남시,종합,96.50093018,2011
209,경기도,군포시,종합,95.52409849,2011
210,경기도,의왕시,종합,92.294863,2011
211,경기도,안성시,종합,87.88661235,2011
212,경기도,용인시,종합,101.9688899,2011
213,경기도,수원시,종합,94.67468294,2011
214,경기도,부천시,종합,99.25471878,2011
215,경기도,안산시,종합,92.22469382,2011
216,경기도,시흥시,종합,94.00928355,2011
217,경기도,광명시,종합,85.5400138,2011
218,경기도,화성시,종합,96.78148253,2011
219,경기도,오산시,종합,96.87243482,2011
220,경기도,평택시,종합,92.77380616,2011
221,경기도,남양주시,종합,100.9784605,2011
222,경기도,구리시,종합,96.72965609,2011
223,경기도,하남시,종합,96.50083746,2011
224,경기도,광주시,종합,98.6526532,2011
225,경기도,이천시,종합,90.80939835,2011
226,경기도,여주시,종합,,2011
227,경기도,김포시,종합,94.40676721,2011
228,경기도,고양시,종합,94.85347262,2011
229,경기도,파주시,종합,102.9838401,2011
230,경기도,포천시,종합,,2011
231,경기도,동두천시,종합,109.5945414,2011
232,경기도,양주시,종합,103.3190273,2011
233,경기도,의정부시,종합,101.3509326,2011
234,인천광역시,인천광역시,종합,98.36737663,2011
235,부산광역시,부산광역시,종합,92.90458617,2011
236,대구광역시,대구광역시,종합,76.89856391,2011
237,광주광역시,광주광역시,종합,88.27972915,2011
238,대전광역시,대전광역시,종합,99.88841266,2011
239,울산광역시,울산광역시,종합,91.03225383,2011
240,세종특별자치시,세종특별자치시,종합,,2011
241,강원도,강원도,종합,91.56126589,2011
242,충청북도,충청북도,종합,93.42850266,2011
243,충청남도,충청남도,종합,92.75791172,2011
244,전라북도,전라북도,종합,99.99798841,2011
245,전라남도,전라남도,종합,96.77716051,2011
246,경상북도,경상북도,종합,88.04650866,2011
247,경상남도,경상남도,종합,98.73401118,2011
248,제주특별자치도,제주특별자치도,종합,82.61548501,2011
249,전국,전국,아파트,92.49446303,2011
250,서울특별시,서울특별시,아파트,93.0135875,2011
251,서울특별시,종로구,아파트,92.92849122,2011
252,서울특별시,중구,아파트,98.32174546,2011
253,서울특별시,용산구,아파트,102.6222381,2011
254,서울특별시,성동구,아파트,92.06504263,2011
255,서울특별시,광진구,아파트,94.4633807,2011
256,서울특별시,동대문구,아파트,91.97656571,2011
257,서울특별시,중랑구,아파트,98.27036368,2011
258,서울특별시,성북구,아파트,94.18044333,2011
259,서울특별시,강북구,아파트,97.44387705,2011
260,서울특별시,도봉구,아파트,99.19996183,2011
261,서울특별시,노원구,아파트,91.62013351,2011
262,서울특별시,은평구,아파트,92.5534673,2011
263,서울특별시,서대문구,아파트,91.44622469,2011
