,지역(1),지역(2),주택유형,전세가격,연도
315,전라북도,전라북도,아파트,93.63096844,2011
316,전라남도,전라남도,아파트,91.0891453,2011
317,경상북도,경상북도,아파트,79.37724506,2011
318,경상남도,경상남도,아파트,94.10948863,2011
319,제주특별자치도,제주특별자치도,아파트,74.06290144,2011
320,전국,전국,연립다세대,90.51507306,2011
321,서울특별시,서울특별시,연립다세대,87.67514699,2011
322,경기도,경기도,연립다세대,90.88623614,2011
323,인천광역시,인천광역시,연립다세대,92.25877227,2011
324,부산광역시,부산광역시,연립다세대,96.48977199,2011
325,대구광역시,대구광역시,연립다세대,88.03269065,2011
326,경기도,광주시,연립다세대,94.53774005,2011
327,대전광역시,대전광역시,연립다세대,94.55896074,2011
328,울산광역시,울산광역시,연립다세대,92.54061359,2011
329,세종특별자치시,세종특별자치시,연립다세대,,2011
330,강원도,강원도,연립다세대,89.93447942,2011
331,충청북도,충청북도,연립다세대,93.33833237,2011
332,충청남도,충청남도,연립다세대,90.58646215,2011
333,전라북도,전라북도,연립다세대,92.51122192,2011
334,전라남도,전라남도,연립다세대,88.65340807,2011
335,경상북도,경상북도,연립다세대,89.71197416,2011
336,경상남도,경상남도,연립다세대,96.59565187,2011
337,제주특별자치도,제주특별자치도,연립다세대,86.81317248,2011
338,전국,전국,단독주택,96.51724586,2011
339,서울특별시,서울특별시,단독주택,94.00315916,2011
340,경기도,경기도,단독주택,95.59089947,2011
341,인천광역시,인천광역시,단독주택,96.59657729,2011
342,부산광역시,부산광역시,단독주택,96.72723396,2011
343,대구광역시,대구광역시,단독주택,95.26809158,2011
344,광주광역시,광주광역시,단독주택,97.98800019,2011
345,대전광역시,대전광역시,단독주택,104.3338598,2011
346,울산광역시,울산광역시,단독주택,98.44780546,2011
347,세종특별자치시,세종특별자치시,단독주택,,2011
348,강원도,강원도,단독주택,96.50552709,2011
349,충청북도,충청북도,단독주택,94.57183845,2011
350,충청남도,충청남도,단독주택,96.18495661,2011
351,전라북도,전라북도,단독주택,99.25728407,2011
352,전라남도,전라남도,단독주택,100.3025042,2011
353,경상북도,경상북도,단독주택,96.45674361,2011
354,경상남도,경상남도,단독주택,94.42362411,2011
355,제주특별자치도,제주특별자치도,단독주택,93.163527,2011
356,전국,전국,종합,86.38324984,2012
357,서울특별시,서울특별시,종합,81.3609538,2012
358,서울특별시,종로구,종합,88.05331294,2012
359,서울특별시,중구,종합,82.76189799,2012
360,서울특별시,용산구,종합,85.11722061,2012
361,서울특별시,성동구,종합,78.14923678,2012
362,서울특별시,광진구,종합,82.36959181,2012
363,서울특별시,동대문구,종합,81.53084039,2012
364,서울특별시,중랑구,종합,85.06963716,2012
365,서울특별시,성북구,종합,83.83548087,2012
366,서울특별시,강북구,종합,85.17348886,2012
367,서울특별시,도봉구,종합,81.50454539,2012
368,서울특별시,노원구,종합,75.47361587,2012
369,서울특별시,은평구,종합,84.76150709,2012
370,서울특별시,서대문구,종합,80.63561867,2012
371,서울특별시,마포구,종합,83.13829524,2012
372,서울특별시,양천구,종합,79.75885242,2012
373,서울특별시,강서구,종합,80.52569243,2012
374,서울특별시,구로구,종합,75.56656052,2012
375,서울특별시,금천구,종합,84.86630826,2012
376,서울특별시,영등포구,종합,78.98726465,2012
377,서울특별시,동작구,종합,80.57887848,2012
378,서울특별시,관악구,종합,83.43561538,2012
379,서울특별시,서초구,종합,84.82872672,2012
380,서울특별시,강남구,종합,79.43854509,2012
381,서울특별시,송파구,종합,80.68845786,2012
382,서울특별시,강동구,종합,81.04901714,2012
383,경기도,경기도,종합,80.7113259,2012
384,경기도,과천시,종합,80.90490211,2012
385,경기도,안양시,종합,78.27424009,2012
386,경기도,성남시,종합,80.65145237,2012
387,경기도,군포시,종합,77.55119648,2012
388,경기도,의왕시,종합,73.86571157,2012
389,경기도,안성시,종합,80.20674989,2012
390,경기도,용인시,종합,84.51419273,2012
391,경기도,수원시,종합,78.95302932,2012
392,경기도,부천시,종합,77.95732072,2012
393,경기도,안산시,종합,82.00489654,2012
394,경기도,시흥시,종합,79.08347638,2012
395,경기도,광명시,종합,75.66650925,2012
396,경기도,화성시,종합,81.34344752,2012
397,경기도,오산시,종합,80.26172253,2012
398,경기도,평택시,종합,91.82014889,2012
399,경기도,남양주시,종합,81.05670292,2012
400,경기도,구리시,종합,81.00077375,2012
401,경기도,하남시,종합,80.78682628,2012
402,경기도,광주시,종합,88.59269205,2012
403,경기도,이천시,종합,85.3371268,2012
404,경기도,여주시,종합,93.01541804,2012
405,경기도,김포시,종합,75.40024692,2012
406,경기도,고양시,종합,74.9857144,2012
407,경기도,파주시,종합,77.42873829,2012
408,경기도,포천시,종합,87.83832874,2012
409,경기도,동두천시,종합,85.41914779,2012
410,경기도,양주시,종합,82.96591123,2012
411,경기도,의정부시,종합,83.36275243,2012
412,인천광역시,인천광역시,종합,81.70513096,2012
413,부산광역시,부산광역시,종합,90.87320431,2012
414,대구광역시,대구광역시,종합,80.74581543,2012
415,광주광역시,광주광역시,종합,88.83562648,2012
416,대전광역시,대전광역시,종합,89.68322421,2012
417,울산광역시,울산광역시,종합,94.72798433,2012
418,세종특별자치시,세종특별자치시,종합,100.4176258,2012
419,강원도,강원도,종합,92.68363254,2012
420,충청북도,충청북도,종합,91.07340257,2012
421,충청남도,충청남도,종합,92.8935404,2012
422,전라북도,전라북도,종합,95.97769043,2012
423,전라남도,전라남도,종합,96.18651866,2012
424,경상북도,경상북도,종합,92.21256343,2012
425,경상남도,경상남도,종합,94.51642367,2012
426,제주특별자치도,제주특별자치도,종합,90.41451866,2012
427,전국,전국,아파트,81.23676643,2012
428,서울특별시,서울특별시,아파트,74.84180738,2012
429,서울특별시,종로구,아파트,82.08545537,2012
430,서울특별시,중구,아파트,76.17505474,2012
431,서울특별시,용산구,아파트,78.69536424,2012
432,서울특별시,성동구,아파트,68.62535078,2012
433,서울특별시,광진구,아파트,72.36042284,2012
434,서울특별시,동대문구,아파트,73.46083749,2012
435,서울특별시,중랑구,아파트,78.81619185,2012
436,서울특별시,성북구,아파트,75.7524183,2012
437,서울특별시,강북구,아파트,74.48459889,2012
438,서울특별시,도봉구,아파트,77.50083994,2012
439,서울특별시,노원구,아파트,74.03219999,2012
440,서울특별시,은평구,아파트,75.96989662,2012
441,서울특별시,서대문구,아파트,73.6630813,2012
442,서울특별시,마포구,아파트,76.93147001,2012
443,서울특별시,양천구,아파트,73.99477803,2012
444,서울특별시,강서구,아파트,71.74497462,2012
445,서울특별시,구로구,아파트,69.414451,2012
446,서울특별시,금천구,아파트,72.41542372,2012
447,서울특별시,영등포구,아파트,73.05653747,2012
448,서울특별시,동작구,아파트,72.98414747,2012
449,서울특별시,관악구,아파트,70.59238171,2012
450,서울특별시,서초구,아파트,82.43730187,2012
451,서울특별시,강남구,아파트,76.24319248,2012
452,서울특별시,송파구,아파트,75.62836083,2012
453,서울특별시,강동구,아파트,76.41637865,2012
454,경기도,경기도,아파트,74.97522749,2012
455,경기도,과천시,아파트,77.61379658,2012
456,경기도,안양시,아파트,70.70740559,2012
457,경기도,성남시,아파트,74.39000069,2012
458,경기도,군포시,아파트,75.08538528,2012
459,경기도,의왕시,아파트,71.3050221,2012
460,경기도,안성시,아파트,72.42316748,2012
461,경기도,용인시,아파트,82.29707637,2012
462,경기도,수원시,아파트,75.62446901,2012
463,경기도,부천시,아파트,70.3992227,2012
464,경기도,안산시,아파트,71.15499046,2012
465,경기도,시흥시,아파트,74.97890521,2012
466,경기도,광명시,아파트,68.66616112,2012
467,경기도,화성시,아파트,76.62032009,2012
468,경기도,오산시,아파트,79.20267512,2012
469,경기도,평택시,아파트,87.6666725,2012
470,경기도,남양주시,아파트,75.4844887,2012
471,경기도,구리시,아파트,76.88993636,2012
472,경기도,하남시,아파트,76.61313798,2012
473,경기도,광주시,아파트,80.46752578,2012
474,경기도,이천시,아파트,78.20785757,2012
475,경기도,여주시,아파트,86.74587524,2012
476,경기도,김포시,아파트,72.41069803,2012
477,경기도,고양시,아파트,70.51034131,2012
478,경기도,파주시,아파트,68.27566549,2012
479,경기도,포천시,아파트,74.00781586,2012
480,경기도,동두천시,아파트,76.68004489,2012
481,경기도,양주시,아파트,75.89474618,2012
482,경기도,의정부시,아파트,77.6910302,2012
483,인천광역시,인천광역시,아파트,74.66353962,2012
484,부산광역시,부산광역시,아파트,86.93304717,2012
485,대구광역시,대구광역시,아파트,76.54175687,2012
486,광주광역시,광주광역시,아파트,86.10755298,2012
487,대전광역시,대전광역시,아파트,86.23310472,2012
488,울산광역시,울산광역시,아파트,93.45100276,2012
489,세종특별자치시,세종특별자치시,아파트,103.4770772,2012
490,강원도,강원도,아파트,88.86748017,2012
491,충청북도,충청북도,아파트,86.52095414,2012
492,충청남도,충청남도,아파트,88.91043553,2012
